,Punjab,Haryana,Rajasthan,Delhi,UP
3/2/2019 0:00,102.9,116.3,240.6,72.1,270.4
3/3/2019 0:00,104.2,123.1,240.9,71.8,271.8
3/4/2019 0:00,106.9,124,240.9,71.1,271.2
3/5/2019 0:00,111.2,125.6,243.6,73,282.1
3/6/2019 0:00,111.6,124.7,243.7,68,276.9
3/7/2019 0:00,106.1,116.3,242.5,67.3,276.8
3/8/2019 0:00,245.8,186,229.7,111.7,362.8
3/9/2019 0:00,256.7,204.4,232.4,121.6,405.5
3/10/2019 0:00,265.3,217,221,128,429.1
3/11/2019 0:00,266.5,214.8,217.3,132.7,430.6
3/12/2019 0:00,257.9,214,212.7,132.6,431.3
3/13/2019 0:00,260.3,218.3,214.6,129.7,439.7
3/14/2019 0:00,233.4,194.6,203.9,113.9,409.2
3/15/2019 0:00,87.5,87.9,164,57.8,235.1
3/16/2019 0:00,81.5,86.6,165.4,51.2,222.1
3/17/2019 0:00,89.6,93.4,180.1,58.4,249
3/18/2019 0:00,96.5,102.4,188.8,63,276.4
3/19/2019 0:00,103.4,108.4,190.9,66.1,287.7
3/20/2019 0:00,109,114.4,198.4,69.6,268.6
3/21/2019 0:00,109,112.5,206.6,68.3,287.1
3/22/2019 0:00,101.7,114.5,216.7,62.5,260.8
3/23/2019 0:00,100.3,114.2,214.5,63.5,258.2
3/24/2019 0:00,98,108.2,218.6,62.6,258.4
3/25/2019 0:00,99.4,100.3,213,62.4,238.2
3/26/2019 0:00,102.8,109.9,212.3,63.5,236.2
3/27/2019 0:00,101.4,108.5,213.3,60.4,240.5
3/28/2019 0:00,92.9,97.7,210.3,57.2,232.6
3/29/2019 0:00,118.3,117.7,209.5,61.7,291.7
3/30/2019 0:00,123.5,123.4,216.3,64.3,279.4
3/31/2019 0:00,126.9,124.6,215.4,65.9,297.6
4/2/2019 0:00,129.8,126.3,214.8,67.4,308.6
4/3/2019 0:00,131.5,129.4,222.9,71.8,317.9
4/4/2019 0:00,130.8,127.6,220.4,73.9,320
4/5/2019 0:00,121.4,113.9,217.5,69.1,292.2
4/6/2019 0:00,101.8,117.4,232.4,61.4,261.4
4/7/2019 0:00,100.3,117.4,228.8,64.1,259.6
4/8/2019 0:00,101.6,117.2,222.5,66.1,241.9
4/9/2019 0:00,101.6,117.2,222.5,66.1,241.9
4/10/2019 0:00,106.8,123.7,231.3,65.4,268
4/11/2019 0:00,105.9,111.9,223.6,63,258
4/12/2019 0:00,93.1,95,212,60.2,230
4/13/2019 0:00,249.8,197.7,240.6,123.2,383
4/14/2019 0:00,250.6,209.8,242.9,126.1,407.9
4/15/2019 0:00,274.1,219.4,248.5,135.1,416.9
4/16/2019 0:00,269.4,219.1,249.5,135.2,435.1
4/17/2019 0:00,282.7,219.7,254.7,133.5,446.8
4/18/2019 0:00,281.5,224.5,255.7,136.7,452.6
4/19/2019 0:00,286,211.8,246.4,136,445.1
4/20/2019 0:00,121.8,120.5,242.6,63.9,259.9
4/21/2019 0:00,124.8,124.7,244.8,63.6,250
4/22/2019 0:00,124.9,124.8,245.1,63.8,257.7
4/23/2019 0:00,121.8,123,245.7,62.5,250.6
4/24/2019 0:00,113,123,246.2,63.8,274.9
4/25/2019 0:00,96.9,108,236,60.3,247.3
4/26/2019 0:00,97.8,94.5,230.1,57.9,215.8
4/27/2019 0:00,112.8,125.5,232.5,74.2,280.7
4/28/2019 0:00,118.6,131.1,232.8,76.9,276.6
4/29/2019 0:00,121.2,132.1,235.6,76.9,277.3
